,year_counts,years
0,1700,2006
1700,1069,2004
2769,931,2003
3700,1260,2005
4960,798,2002
5758,250,1996
6008,656,2001
6664,534,2000
7198,117,1990
7315,165,1993
7480,290,1997
7770,151,1991
7921,21,2012
7942,220,1994
8162,45,1982
8207,72,1986
8279,450,1999
8729,88,1987
8817,73,1984
8890,518,2007
9408,9,1965
9417,396,1998
9813,249,1995
10062,17,1964
10079,13,1970
10092,24,2011
10116,4,1955
10120,77,1988
10197,62,1985
10259,118,1989
10377,9,1963
10386,49,2008
10435,42,2009
10477,31,1976
10508,16,1975
10524,26,1980
10550,183,1992
10733,16,1973
10749,6,2019
10755,4,1954
10759,10,2015
10769,1,1919
10770,2,1921
10772,1,1923
10773,11,1969
10784,6,1968
10790,5,1961
10795,2,1953
10797,4,1958
10801,36,1983
10837,24,1978
10861,1,1929
10862,34,1977
10896,32,1979
10928,1,1922
10929,31,1981
10960,37,2010
10997,2,1950
10999,11,1971
11010,6,1960
11016,5,1959
11021,15,2013
11036,7,2017
11043,6,2016
11049,14,1972
11063,1,1947
11064,1,1943
11065,12,1974
11077,3,1957
11080,9,2014
11089,5,2018
11094,2,1952
11096,1,1935
11097,3,1956
11100,4,1966
11104,2,1925
11106,3,1962
11109,3,1949
11112,1,1913
11113,1,1928
11114,1,1914
11115,1,1948
11116,3,1967
11119,1,1900
11120,1,2020
11121,1,1931
11122,1,1940
